Date,Open,High,Low,Close,Volume,Adj Close
8/14/2008,3506,3640,3501,3586.65,4000,3490.48
8/13/2008,3425.4,3669,3425.4,3532.7,8000,3437.97
8/12/2008,3480,3483,3367,3374,1400,3283.53
8/11/2008,3487,3559.8,3350,3425,3000,3333.16
8/8/2008,3380,3421,3380,3384.2,800,3293.46
8/7/2008,3381.5,3439,3375.05,3385.3,700,3291.61
8/6/2008,3410,3450,3395,3420.1,1400,3325.44
8/5/2008,3354.7,3395.95,3320,3344.45,1500,3251.89
8/4/2008,3325.6,3450,3300,3325.5,1300,3233.46
8/1/2008,3355,3385,3330,3350,700,3257.28
7/31/2008,3465,3465,3353,3397.05,400,3303.03
7/30/2008,3425,3467,3375,3404.5,700,3310.28
7/29/2008,3400,3459.95,3375,3385.25,400,3291.56
7/28/2008,3391.9,3499,3323,3473.9,600,3377.75
7/25/2008,3440,3465,3351.05,3391.9,600,3298.02
7/24/2008,3649,3751,3460.1,3491.25,4000,3394.62
7/23/2008,3499.9,3660,3410,3574.9,2200,3475.96
7/22/2008,3161,3434,3161,3335.6,1400,3243.28
7/21/2008,3203,3260,3155,3214.7,400,3125.73
7/18/2008,3249,3250,3147.1,3203.05,800,3114.4
7/17/2008,3195.2,3232,3140,3153.55,300,3066.27
7/16/2008,3212,3229.8,3090,3113.2,700,3027.04
7/15/2008,3230,3260,3200,3212.3,400,3123.4
7/14/2008,3262.2,3286,3231,3252.6,300,3162.58
7/11/2008,3359,3360,3281.05,3320,500,3228.11
7/10/2008,3395,3395,3310.05,3343.5,400,3250.96
7/9/2008,3349,3398,3310,3353.6,1000,3260.78
7/8/2008,3199.8,3298.95,3151,3262,1200,3171.72
7/7/2008,3127.4,3300,3127.4,3262,700,3171.72
7/4/2008,3122.1,3248,3085,3159,1700,3071.57
7/3/2008,3171,3218.65,3125,3153.65,900,3066.37
7/2/2008,3278,3300,3050,3262.5,1800,3172.21
7/1/2008,3300,3469,3190,3218,1100,3128.94
6/30/2008,3411.25,3469.9,3377,3406,900,3311.73
6/27/2008,3460,3500,3412,3463.45,1300,3367.59
6/26/2008,3549.3,3594,3485,3534,400,3436.19
6/25/2008,3530.3,3530.3,3460,3479.9,1200,3383.59
6/24/2008,3602,3669.95,3525,3554.9,700,3456.51
6/23/2008,3701.25,3701.25,3500,3590.05,1600,3490.69
6/20/2008,3880,3900,3757,3765,1200,3660.8
6/19/2008,3950,3974,3861,3876.85,700,3769.55
6/18/2008,3970,4060,3940,3952,1000,3842.62
6/17/2008,4021,4025,3968.25,4019,400,3907.77
6/16/2008,3931,4120,3930,3987.6,1700,3877.24
6/13/2008,3805.65,3973.95,3805.65,3924.3,800,3815.69
6/12/2008,3850,3890,3802,3844.1,800,3737.71
6/11/2008,3948,3954,3878.55,3900,300,3792.06
6/10/2008,3834.5,3930,3834.5,3892.7,700,3784.96
6/9/2008,3860,3920,3750,3873.25,1100,3766.05
6/6/2008,4100,4100,3910,3960.8,1000,3851.18
6/5/2008,3940,4000,3910,3993,800,3882.49
6/4/2008,4013.15,4050,3940,3960.5,900,3850.89
6/3/2008,3919,4035,3919,4026.5,600,3915.06
6/2/2008,4061,4148,4000,4026.05,600,3914.62
5/30/2008,4200,4200,4035,4061.95,1200,3949.53
5/29/2008,3962,4180,3962,4180,900,4064.31
5/28/2008,4090,4090,4000,4037.05,700,3925.32
5/27/2008,4100,4150,4030,4043.95,700,3932.03
5/26/2008,4140,4198,4075,4083.55,800,3970.53
5/23/2008,4299,4300,4160.6,4180.75,1100,4065.04
5/22/2008,4275.6,4347.95,4253,4275.8,800,4157.46
5/21/2008,4233,4420,4222,4376.65,2300,4255.52
5/20/2008,4207,4250,4145,4238.9,600,4121.58
5/19/2008,4216.85,4216.85,4216.85,4216.85,0,4100.14
5/16/2008,4205,4243,4203.05,4216.85,600,4100.14
5/15/2008,4190,4245,4181,4207.4,700,4090.95
5/14/2008,4105,4219,4105,4130.6,1200,4016.28
5/13/2008,4225,4300,4154,4166.35,1400,4051.04
5/12/2008,4310,4311,4180,4197.5,1600,4081.33
5/9/2008,4478.05,4499.95,4311,4345.3,900,4225.04
5/8/2008,4551,4580,4465.75,4478.05,700,4354.11
5/7/2008,4625,4669.95,4551.55,4564,800,4437.68
5/6/2008,4770,4770,4612,4639.1,1500,4510.71
5/5/2008,4650,4740,4625,4716,2600,4585.48
5/2/2008,4649,4850,4524,4606.85,3800,4479.35
5/1/2008,4542.95,4542.95,4542.95,4542.95,0,4417.22
4/30/2008,4651.5,4699.95,4521,4542.95,1300,4417.22
4/29/2008,4610,4800,4555.25,4634.35,2400,4506.09
4/28/2008,4625,4678.4,4540,4578.2,2000,4451.49
4/25/2008,4448,4700,4400,4597.75,9900,4470.5
